EVENT_ID,TIME_STAMP,TYPE_DESCRIPTION,ONSTREET,DIRECTION,LAT,LONG
50,2013-10-02:07:50,Accident-ambulance rolling,405,1,34.233558,-118.472957
21,2013-10-02:08:17,Accident-property damage,405,0,33.669553,-117.822563
892,2013-10-02:08:28,Accident-property damage,405,1,34.172117,-118.46771
114,2013-10-02:08:41,Hit and Run-no injuries,405,1,33.758978,-118.021531
114,2013-10-02:08:41,Hit and Run-no injuries,405,1,33.774271,-118.078171
24,2013-10-02:08:49,Accident-property damage,405,1,33.756658,-118.019335
116,2013-10-02:08:50,Accident-property damage,405,1,33.756658,-118.019335
977,2013-10-02:08:56,Accident-property damage,405,1,34.149131,-118.469156
78,2013-10-02:08:58,Accident-property damage,405,1,34.149131,-118.469156
125,2013-10-02:09:08,Accident-property damage,405,0,33.65497,-117.772868
1160,2013-10-02:09:55,Accident-ambulance rolling,405,1,34.191973,-118.47438
1168,2013-10-02:09:56,Accident-ambulance rolling,405,1,34.172117,-118.46771
91,2013-10-02:10:01,Accident-ambulance rolling,405,1,34.191973,-118.47438
1179,2013-10-02:10:01,Accident-no details,405,0,34.15067,-118.46824
93,2013-10-02:10:02,Accident-no details,405,0,34.15067,-118.46824
1311,2013-10-02:10:41,Accident-property damage,405,1,34.165883,-118.469587
1629,2013-10-02:12:16,Accident-property damage,405,0,34.047022,-118.446575
1797,2013-10-02:13:07,Accident-no details,405,0,34.088608,-118.475191
159,2013-10-02:13:09,Accident-no details,405,0,34.088608,-118.475191
2104,2013-10-02:14:25,Accident-property damage,405,0,34.975086,-118.383617
2105,2013-10-02:14:25,Accident-no details,405,0,33.90175,-118.3703
181,2013-10-02:14:27,Accident-no details,405,0,33.90175,-118.3703
347,2013-10-02:15:06,Accident-ambulance rolling,405,0,33.690904,-117.92332
48,2013-10-02:15:08,Accident-property damage,405,0,33.690904,-117.92332
358,2013-10-02:15:22,Hit and Run-no injuries,405,0,33.687441,-117.873542
115056,2013-10-02:15:24,Accident,405,1,34.011343,-118.418016
2610,2013-10-02:16:31,Accident-no details,405,1,33.873445,-118.34275
225,2013-10-02:16:32,Accident-no details,405,1,33.873445,-118.34275
277,2013-10-02:18:23,Accident-ambulance rolling,405,1,33.790411,-118.099358
3086,2013-10-02:18:24,Accident-ambulance rolling,405,1,33.802636,-118.125354
3089,2013-10-02:18:24,Accident-property damage,405,0,34.975086,-118.383617
279,2013-10-02:18:25,Accident-property damage,405,0,34.975086,-118.383617
3152,2013-10-02:18:44,Accident-property damage,405,1,34.038994,-118.439912
3201,2013-10-02:18:58,Accident-ambulance rolling,405,0,33.997861,-118.406984
3211,2013-10-02:19:00,Accident-no details,405,1,33.855911,-118.28463
290,2013-10-02:19:03,Accident-property damage,405,1,34.038994,-118.439912
95,2013-10-02:19:41,Accident-no details,405,1,33.774246,-118.071496
